episode,step,pos,vel,action
0,0,-0.21213569293081547,0.0,2
0,1,-0.21314628356151413,-0.0010105906306986522,2
0,2,-0.21516295106069888,-0.0020166674991847437,2
0,3,-0.21817663299413742,-0.0030136819334385286,2
0,4,-0.22217365044467963,-0.003997017450542217,0
0,5,-0.22913561129120888,-0.0069619608465292535,2
0,6,-0.23702980730444245,-0.007894196013233564,2
0,7,-0.2458181315779507,-0.008788324273508258,0
0,8,-0.2574569124391051,-0.011638780861154434,1
0,9,-0.27088633905000653,-0.013429426610901418,2
0,10,-0.2850346909251559,-0.014148351875149361,0
0,11,-0.30182339274004427,-0.016788701814888396,0
0,12,-0.3211553839341634,-0.0193319911941191,1
0,13,-0.3419140678888729,-0.020758683954709516,2
0,14,-0.3629689127733555,-0.021054844884482622,0
0,15,-0.3861823936716533,-0.023213480898297792,2
0,16,-0.4093975522111015,-0.02321515853944825,2
0,17,-0.4324525622035236,-0.023055009992422115,1
0,18,-0.45618268198230316,-0.023730119778779528,0
0,19,-0.4814149824904379,-0.025232300508134745,0
0,20,-0.5079628176427763,-0.026547835152338408,2
0,21,-0.5336278794788138,-0.02566506183603761,2
0,22,-0.5582177343837457,-0.024589854904931846,0
0,23,-0.5835484136070846,-0.025330679223339012,1
0,24,-0.6084318905144217,-0.02488347690733701,2
0,25,-0.6316859651434326,-0.023254074629010888,2
0,26,-0.6531435174628308,-0.02145755231939828,0
0,27,-0.6746537576727205,-0.02151024020988964,1
0,28,-0.6950694648388318,-0.020415707166111352,2
0,29,-0.7132551142780517,-0.0181856494392198,1
0,30,-0.7300938542780443,-0.016838739999992677,0
0,31,-0.7464810539573471,-0.01638719967930276,2
0,32,-0.7603184416895338,-0.013837387732186662,0
0,33,-0.7735259435691934,-0.01320750187965959,1
0,34,-0.7850297482673562,-0.011503804698162782,1
0,35,-0.7947677409081537,-0.009737992640797583,2
0,36,-0.8016889817616787,-0.0069212408535249135,1
0,37,-0.806758205690215,-0.0050692239285362855,2
0,38,-0.8089500896605294,-0.002191883970314474,0
0,39,-0.8102538183476158,-0.0013037286870864423,0
0,40,-0.81066299750771,-0.0004091791600942399,2
0,41,-0.8081756262589997,0.002487371248710254,2
0,42,-0.8028039118275969,0.005371714431402876,1
0,43,-0.7955745739504402,0.007229337877156783,0
0,44,-0.7875243326819799,0.00805024126846035,2
0,45,-0.7766950847826173,0.010829247899362598,2
0,46,-0.7631448222330784,0.013550262549538878,0
0,47,-0.7489486591670453,0.014196163066033114,1
0,48,-0.7331882049961763,0.015760454170869062,0
0,49,-0.7169573781896267,0.016230826806549685,2
0,50,-0.6983563330191054,0.01860104517052125,0
0,51,-0.6795038291034534,0.018852503915652016,1
0,52,-0.6595242051513527,0.01997962395210075,1
0,53,-0.6385531588688746,0.02097104628247807,1
0,54,-0.6167369428670755,0.02181621600179921,1
0,55,-0.5942312446027647,0.022505698264310797,2
0,56,-0.5701997582229392,0.0240314863798254,0
0,57,-0.5468199018736914,0.02337985634924783,0
0,58,-0.5242660279079624,0.02255387396572902,2
0,59,-0.500707149553253,0.02355887835470937,1
0,60,-0.4773198234727303,0.023387326080522748,1
0,61,-0.45427847553492784,0.023041347937802454,2
0,62,-0.4307532905101138,0.023525185024814033,2
0,63,-0.40691547749896795,0.023837813011145854,2
0,64,-0.3829350261787488,0.023980451320219153,0
0,65,-0.36097851943408316,0.02195650674466567,0
0,66,-0.34119385593565443,0.01978466349842872,2
0,67,-0.32170996923309736,0.0194838867025571,1
0,68,-0.30364935773310187,0.01806061149999547,1
0,69,-0.28712123864919176,0.016528119083910116,1
0,70,-0.2722216280148312,0.014899610634360579,1
0,71,-0.25903365704227177,0.01318797097255944,0
0,72,-0.24862805950749,0.010405597534781772,1
0,73,-0.24005868239023417,0.008569377117255833,0
0,74,-0.2343685293596918,0.005690153030542383,2
0,75,-0.22958547089766332,0.004783058462028467,0
0,76,-0.22773250495559436,0.0018529659420689695,1
0,77,-0.2278184344438924,-8.592948829804783e-05,2
0,78,-0.2288428524588919,-0.0010244180149995017,0
0,79,-0.23280089813829055,-0.003958045679398653,2
0,80,-0.23767361937682296,-0.0048727212385323996,2
0,81,-0.2434373139188395,-0.00576369454201653,1
0,82,-0.2510634243148744,-0.007626110396034891,0
0,83,-0.26151331104932185,-0.01044988673444746,1
0,84,-0.27373248123659005,-0.012219170187268223,2
0,85,-0.28665501445489183,-0.012922533218301764,1
0,86,-0.3012087075716724,-0.01455369311678057,2
0,87,-0.3163093143091969,-0.01510060673752451,2
0,88,-0.3318663080039103,-0.015556993694713398,0
0,89,-0.34978330279608033,-0.01791699479216999,0
0,90,-0.36994563470643355,-0.02016233191035324,2
0,91,-0.39021998560576926,-0.0202743508993357,1
0,92,-0.411468196364491,-0.021248210758721724,2
0,93,-0.43254161517941553,-0.021073418814924503,2
0,94,-0.45328950067300994,-0.020747885493594426,1
0,95,-0.4745608042948616,-0.021271303621851635,1
0,96,-0.4961985675057377,-0.021637763210876123,1
0,97,-0.5180416009284396,-0.021843033422701996,0
0,98,-0.540926311230493,-0.022884710302053357,0
0,99,-0.5646811235352953,-0.02375481230480237,0
0,100,-0.5891285976808956,-0.024447474145600296,0
0,101,-0.6140877577472511,-0.024959160066355457,1
0,102,-0.6383765554399069,-0.02428879769265575,1
0,103,-0.6618214300717316,-0.023444874631824666,0
0,104,-0.6852590895633747,-0.023437659491643108,0
